Gene,Chr,Gene Start,Gene End,Gene Score,Gene ReScore
OR2G6,1,246751570,246752521,30570.426428285715,30060.083791401386
RPL35A,3,199161491,199167118,30332.636832999997,29997.12185019777
TTLL3,3,9842249,9844825,29947.32694127778,29975.700693795192
C2CD2L,11,118483302,118493037,35261.0192935,29971.866399475
HPS1,10,100191701,100196694,30548.54540725,29963.724705017346
TCF25,16,88497858,88500299,31251.005234583336,29948.43470598467
AP1S1,7,100584405,100591277,32842.215606687496,29942.483989886914
RHOF,12,120702775,120715977,31598.452351000004,29930.559437889166
GKN2,2,69025946,69033606,29771.8094323,29915.43253751386
LMAN1,18,55148087,55177461,30116.686093812503,29874.044893378374
POLD4,11,66875599,66877593,31202.55972925,29853.39291533398
PDC,1,184679337,184696862,30782.994506875002,29823.24758635335
CLDN14,21,36755143,36755863,30019.591486733338,29818.56003829025
GSTA5,6,52804499,52818852,29853.09992718182,29811.012899358688
QARS,3,49108368,49117175,30309.429251399997,29805.7012390145
MYL3,3,46874360,46879977,34995.613098333335,29746.271133583334
TCHH,1,150345416,150384330,30092.48944325,29715.13276323399
CRB1,1,195649581,195680572,30484.490843624997,29699.77364853425
TNFAIP3,6,138230416,138246142,30027.19241946667,29674.959320735095
ZNF492,19,22365738,22396988,30382.431616333328,29640.225867436944
MTA1,14,104995651,105008102,30095.308470500004,29632.22214610793
IL11,19,60567568,60573626,29899.94540742857,29619.981536677304
TUBB3,16,88527820,88530006,31039.369374,29615.855167004593
OLIG1,21,33364442,33366596,30112.222634,29614.33059604768
GPR45,2,105224631,105226356,36101.43111427273,29602.841121247726
BCL2L2,14,22846186,22850808,30263.545232555553,29473.461782350412
RGS3,9,115396020,115399839,29729.94861777778,29468.69244149481
DMPK,19,50964815,50977655,30605.13476908333,29416.70309792349
PPIH,1,42896634,42915016,29552.7240311875,29396.014943369897
SH2B3,12,110340305,110373810,31256.479218714285,29379.46173806101
MIA2,14,38772875,38792326,30130.431461866665,29356.144101738835
ART5,11,3616543,3620061,29626.932313333335,29346.12167812656
OR2M7,1,246553554,246554493,29242.082889499998,29327.061840391474
NTN3,16,2461500,2464147,29580.7420298,29300.435024496157
ZNF17,19,62614340,62625119,30046.654148333335,29275.167758886168
LRRIQ1,12,83958398,83966467,29380.870150272734,29241.04542794207
NIPSNAP1,22,28280797,28307144,29527.535500666665,29209.805581801575
PDE6G,17,77227893,77234038,29586.299014235294,29205.560767083716
SLC7A10,19,38394284,38408548,29276.832467235294,29176.927931774673
TMX3,18,64515154,64533333,29536.556387866665,29154.250161056745
ZNF319,16,56587921,56589670,29485.964888000002,29129.659799460187
GAPDH,12,6516713,6517797,29045.714752000004,29112.70515211369
ODF3,11,186794,190256,29668.406549,29109.531752642426
TUBA3D,2,131950135,131956977,29943.2062891,29058.700152437523
CD37,19,54530488,54535673,30947.612800764706,29051.167233697986
MASP2,1,11027742,11029872,28991.627979599998,29022.704744432733
OR4C16,11,55096179,55097112,29574.90709085714,29016.165604807167
CCNH,5,86725837,86744592,28992.473687775004,28914.651750740584
CIDEB,14,23844232,23850416,29421.038915666668,28912.476852660446
PSG8,19,47950286,48051710,29330.036539700002,28908.827380559407
IQCC,1,32443858,32446875,30119.217997916665,28890.286753437133
SIVA1,14,104290514,104297041,29697.154431285715,28883.961178404767
RANGRF,17,8132713,8134133,30758.580338777774,28874.95779409632
DDHD1,14,52588979,52597792,29456.955410999995,28852.953984597287
EIF4B,12,51707930,51714085,29404.719077,28826.502523854928
ARF1,1,226351379,226353536,29351.868339625,28815.2570807035
ZBTB45,19,63716708,63723000,30192.251685375,28699.445806827287
LRRC55,11,56713036,56715764,33737.566851560005,28676.931823826002
ULK4,3,41898645,41978465,28454.862411181817,28670.262497892698
KATNA1,6,149957864,150011543,28623.41081654167,28638.291810794806
CSN2,4,70855562,70861315,28855.813511199998,28600.00633718942
FEM1B,15,66367803,66375074,29030.4679106,28560.344277811582
LIG3,17,30331661,30345563,28993.2567509,28465.568758998994
PCMT1,6,150112657,150174249,28296.17560557895,28323.643894332727
PNMT,17,35078032,35080254,29046.330726739132,28264.54996889339
IVD,15,38494636,38498355,28924.472486,28263.836357206208
LRCH4,7,100009569,100021712,28308.403165714284,28235.006645524667
TMEM177,2,120154899,120155835,29066.050299,28211.1330361952
SOX4,6,21701950,21706828,28171.618196222225,28202.1956410316
JAGN1,3,9907270,9911031,28238.5091885,28186.98636498732
AMD1,6,111302679,111323606,28042.847815666668,28143.012991281335
SLC35A3,1,100231745,100261594,28088.064691500003,28125.554721207787
TSPAN32,11,2292841,2296006,28219.506856666667,28095.38564676443
MARVELD1,10,99463470,99467897,28574.773895777776,28085.59482627442
CRP,1,157948706,157950383,28575.009484000002,28066.81963736729
LLGL2,17,71065480,71082885,28151.774269272726,28065.30221896069
DENND4C,9,19335918,19347691,29014.681357999998,28034.216111413596
HIST1H2AE,6,26325126,26325690,27842.877222727275,28009.79337384559
BCL2L10,15,50189113,50192264,29125.74208235714,28008.602882976516
OR1L3,9,124477229,124478204,27940.945201,27914.053806911008
GPR18,13,98705131,98706127,29427.199012250003,27905.276127400655
HGF,7,81218151,81237388,28129.012235315786,27863.23354091341
OR10H1,19,15778816,15779936,28239.135638999996,27837.564991568735
HOXC6,12,52708460,52710874,28189.70299954545,27829.23880079677
AP1B1,22,28053670,28058310,27570.883805636364,27813.81552869602
DUOX1,15,43227393,43232709,27803.581691363637,27806.560185627055
TTC17,11,43467922,43472071,27621.22764581818,27700.311461125366
SPINT3,20,43574514,43577678,32884.0155163,27698.012502622558
TEX101,19,48584602,48614589,28752.668436375,27695.684820534032
PAQR3,4,80058117,80079606,27720.573836222222,27693.609275939765
IRX5,16,53523484,53525896,27570.44447671428,27680.080444233507
DLD,7,107318821,107348879,28824.89668747619,27649.076942857762
TRIM59,3,161638453,161639665,28470.087056666667,27645.71212628514
SPTBN2,11,66209298,66245446,27875.22484854545,27642.339679290337
HNRNPUL1,19,46500137,46505651,27622.864959625,27642.13898352081
NEU3,11,74377597,74396391,27685.666622249995,27636.117111340303
ZFP41,8,144403388,144403985,29300.700757714283,27629.120406170394
KIAA1328,18,32900826,32909609,30658.696286833336,27601.12536562134
AGAP1,2,236243562,236243590,28749.483979666664,27580.820177845424
LDHA,11,18372557,18385974,28381.834468684214,27556.295080898315
RBM22,5,150050548,150060817,31466.25064328571,27545.222487765343
VKORC1L1,7,65057204,65060967,27288.07937158333,27539.870830660522
PLXNB1,3,48431211,48432976,28237.569512749997,27508.01871093748
NADK,1,1675408,1686745,27752.326650454546,27494.038325653004
ATXN7L3,17,39624698,39631055,28690.597632666668,27460.73439770519
UCHL5,1,191294089,191295812,28154.063661100005,27410.611823806354
HERC4,10,69498772,69505109,28956.421461500006,27354.504465179172
SFTPC,8,22075233,22077936,27269.473791733337,27342.859638884453
MAN1B1,9,139118875,139123460,27699.356408176467,27327.312027876083
LIN37,19,40931351,40937260,28667.732189416667,27294.457247784823
FAM167B,1,32485404,32487048,27786.7130879,27271.917400226812
MC4R,18,56189543,56190981,27888.681330714287,27259.34321475547
EMG1,12,6950254,6955404,28161.455776999996,27201.786939597063
MNDA,1,157067791,157085894,28097.852626235297,27198.04869726674
LBX1,10,102976722,102978707,28578.67181,27192.76635864772
NDUFB10,16,1949517,1951977,27916.5919378125,27155.77919551376
PSMG1,21,39469253,39477310,28593.0801715,27153.389213002476
KAZALD1,10,102816045,102817876,27980.035712200002,27108.743484032257
JMY,5,78654928,78658788,29141.58233071429,27088.629019316035
APOBEC3H,22,37827868,37830016,27375.417012125003,27072.227027693552
GPAA1,8,145209511,145213107,27512.578349099997,27043.83173624703
XCL1,1,166812479,166817939,27209.438952150005,27020.871814691825
SPEF1,20,3706150,3710102,27505.5621035,27008.745047830715
RAC3,17,77582820,77585369,27079.26253825,26949.14784489133
GALE,1,23997163,23999881,27088.175220363635,26948.587308534774
OR10S1,11,123352612,123353608,27484.696483000003,26897.504692251994
POLR3K,16,36999,43625,26810.031198363635,26892.207295730812
FAM161A,2,61916648,61934782,27008.0821001875,26879.260663054712
UFSP2,4,186558436,186584062,28515.1653905625,26849.385774101556
IGFBP6,12,51777702,51782395,27765.956694666664,26785.948535429434
KHK,2,27163114,27177123,27299.877522666666,26770.140443086584
MYCN,2,15999496,16004580,26529.13459083333,26723.34644362105
C2orf68,2,85690666,85692663,26758.415473833335,26716.046883248462
PTRH1,9,129516047,129526973,27287.225679235293,26712.894658837995
ESRRA,11,63838286,63839318,27278.369388833333,26708.735844274288
RAB3D,19,11296092,11311321,27092.731224,26667.14010334349
SNAP47,1,226002015,226013956,26678.412524562496,26660.06182836013
KRTAP13-1,21,30690262,30691009,28124.58469042857,26646.369167863573
MS4A6A,11,59696546,59707380,26450.334711272724,26583.068280918484
PLAGL2,20,30243967,30259207,27284.285865777776,26549.34312101735
RAG2,11,36570710,36572294,26654.466454200003,26529.759523714965
LCN6,9,138758290,138762801,26793.287884999998,26529.393516302505
ZNF226,19,49361156,49373678,27507.023821333336,26522.803464764733
S1PR3,9,90805935,90807072,27753.761791599994,26508.59544950048
EIF2A,3,151752832,151786493,26797.35981325,26499.865387506114
COX8A,11,63498654,63500591,27422.035370166665,26496.6198728126
SAMD10,20,62075909,62081806,26515.6920071875,26491.075325133294
PSMC4,19,45168912,45179193,31162.153672,26487.8306212
CH25H,10,90955673,90957051,27979.206869999998,26477.199244148655
LGALS3BP,17,74478931,74487656,26435.226677785715,26448.861022099103
PARP9,3,123733309,123765852,27110.3971281,26445.29548425793
PHPT1,9,138863366,138865311,26573.61257633333,26419.055159357944
TMPRSS11B,4,68774965,68794007,26896.9027977,26398.687064053538
CRCP,7,65217239,65256988,26365.359548449993,26397.068002248026
POU4F3,5,145698868,145700200,28608.6161439,26388.52620648509
CBFA2T2,20,31690207,31701498,30170.691347333337,26367.94833052102
CCL19,9,34679566,34681274,28618.650741909092,26367.5796099918
MPST,22,35750178,35755809,26748.00446314286,26360.09179023472
GML,8,143913218,143925264,26469.58382663636,26349.176523243328
PMM1,22,40302857,40315759,30950.83103666667,26308.20638116667
CDC26,9,115069111,115077690,27022.568767999997,26269.640367347904
ROM1,11,62137198,62139164,29138.875169625,26268.744140081635
SNAI1,20,48032933,48038827,26091.759702000003,26263.36355458141
GLYCTK,3,52301344,52302531,26310.50336633333,26254.0448998601
XKR8,1,28159090,28167191,26563.276143083334,26236.587856240552
ADAM30,1,120237678,120240636,26362.603166250003,26234.596402207364
LRRC27,10,134015100,134030492,26242.846712333332,26227.915124668754
LIMK1,7,73149345,73163706,26663.178935000007,26207.708941552475
EIF1B,3,40326176,40328919,26666.275046125,26203.274135882442
HIST3H2A,1,226711687,226712183,29197.883326444444,26191.05654022981
IARS2,1,218376766,218388006,26926.930658333335,26176.886286194644
CHRNA4,20,61448246,61463139,27944.166946428573,26173.968093002408
PVALB,22,35526690,35545463,26887.18585438889,26171.006959853446
FADS3,11,61397573,61415998,26307.333147136364,26117.508822515163
LGALS3,14,54665624,54681901,25884.067267,26074.26922117404
FAM186B,12,48267554,48285621,27176.228126357142,26072.852890858314
S100A2,1,151800208,151804930,29389.85560188889,26059.617060076813
RHD,1,25471567,25529523,30340.78757357143,26043.08894546372
HOXC8,12,52689156,52692812,28443.546437150002,26024.907344724234
DUSP22,6,249627,296353,26041.547284999997,26022.694631676386
UNC119,17,23897852,23903770,25961.779254666668,25996.758017219017
SLC29A2,11,65886567,65896221,25790.677954,25996.720306321433
TSPYL1,6,116704438,116707973,26642.000089250003,25988.898195930367
SPO11,20,55338237,55352456,27675.016963749997,25986.449723293747
THOC5,22,28262612,28269531,26674.34581673333,25971.28627182602
C1QA,1,22836659,22838762,26609.69612513333,25939.3883630636
ODF2,9,130297955,130303060,27065.48062725,25922.642068839916
DUS1L,17,77609039,77616969,25884.93466,25912.165092522602
MYO1G,7,44974646,44985193,26124.417736857144,25905.016847828338
GSTT2,22,22652313,22656106,26568.924638425,25897.147279728062
RNF135,17,26322081,26351053,27202.470611588233,25869.137087526862
VN1R5,1,245485996,245487070,26719.724697714286,25855.709068954453
DTX3L,3,123765955,123775968,27110.3971281,25754.44444304091
MAFB,20,38747930,38751290,25775.037343714288,25696.035954745388
PLN,6,118986777,118986936,25657.376515875,25689.048347243235
MRPL22,5,154300825,154329164,25651.268623500004,25673.244170930713
SUPT16H,14,20920880,20922265,27774.935818500002,25611.54888305076
MYH4,17,10287332,10313601,25480.35204541667,25596.200590079032
TAF6,7,99545758,99554915,26380.697947999994,25582.134834715576
MYOD1,11,17697685,17700254,26569.693245,25570.09008135126
OR8B12,11,123917827,123918760,26396.81432411111,25525.37019169699
AVP,20,3011201,3013370,28355.541531909093,25509.089986330408
GPR1,2,206749148,206750216,26139.9000135,25505.484564118637
SLPI,20,43314292,43316620,25618.837763000003,25463.75648109227
LCE3E,1,150805029,150805308,25309.082085000002,25451.413498663864
KTI12,1,52270364,52272060,25739.598143999996,25435.828573532774
CLDN9,16,3002206,3004507,25761.315094666665,25434.89717819501
ABCA9,17,64550651,64568731,25247.103642583334,25424.302092879603
ATP6V1B2,8,20120450,20123485,26694.487691857143,25408.89413817596
CRYAA,21,43462209,43465982,26613.159272,25402.166413448223
NDUFA4,7,10939339,10946338,27164.981848333333,25343.529815590424
USP45,6,100036858,100070033,26897.863355133333,25331.01071085024
MBD3,19,1527677,1543710,25659.054508285713,25306.923473868195
LYZ,12,68028400,68034280,25387.971478350002,25300.40600126691
DNAJC16,1,15758607,15791459,26065.073981555553,25299.618562902673
STYX,14,52266681,52309232,25837.950872499998,25290.733182667922
RAET1G,6,150279706,150285907,27585.1996233125,25268.135413708005
TMEM214,2,27109277,27118069,25425.119993,25259.963343995772
LARP1,5,154116955,154163498,25204.314616764703,25211.263763831885
GSTM3,1,110081523,110084656,28779.591570363627,25211.228495535113
TMEM147,19,40728384,40730268,25639.57488083333,25203.90388678931
FABP5,8,82355339,82359563,26305.032365300005,25158.21110821894
LRRTM1,2,80382886,80384455,25786.638881545456,25156.705142633404
EID1,15,46957581,46959672,26943.057743,25136.3462772781
CMAS,12,22090425,22109869,25677.9554148,25119.696431039458
GSTM5,1,110056387,110062411,26306.066008625003,25110.065553977507
RPL26,17,8221558,8227290,25018.023545,25104.640037780617
AXIN2,17,60984385,60986906,25321.12921,25076.70208989804
RETN,19,7640211,7641340,25360.52598588889,25040.06113231056
EIF2B2,14,74539364,74546045,26216.483587125,24995.450850469933
ADAR,1,152841303,152847306,28128.46271733333,24964.946390781122
IMPA1,8,82732750,82761115,24874.0784719375,24955.377871236735
ZCRB1,12,40992154,41006199,26249.9047213,24945.5469355845
TIMM23,10,51262093,51293342,25273.268391800004,24914.04423868016
NEURL2,20,43950673,43953308,26035.9092305,24902.607283040386
UAP1L1,9,139092649,139098811,24711.69728191667,24878.978250865734
SNRPD2,19,50882557,50887282,25438.623481555554,24819.104484246494
GTF3C3,2,197353058,197372670,24983.002552625,24776.511630849658
GOT1L1,8,37910959,37916804,25938.5588228,24676.258698355065
VN1R1,19,62658353,62659666,24789.899186000002,24633.569134128837
MYO9B,19,17178487,17185093,25542.75347577778,24614.91471593691
RBM27,5,145563355,145648977,26671.852864999997,24546.201841132446
NDUFV1,11,67132598,67136025,24979.870300125,24515.781455013694
SSFA2,2,182488187,182503706,24829.713595555557,24507.27570647272
ZNF22,10,44818822,44819497,24406.929113666665,24421.55893200585
XRRA1,11,74247850,74295966,24850.35165925,24419.803479062408
IFNA13,9,21357422,21358075,25325.913013818183,24390.916147589607
APBB1,11,6379887,6383465,24656.644215357144,24339.949120615234
WDR34,9,130435760,130458950,24231.91077635714,24339.695424339134
PHB2,12,6944801,6946672,25601.32343363636,24320.832748959165
FBXO42,1,16491420,16514517,24610.91332885714,24312.797145137945
ARHGEF1,19,47098764,47103444,24489.986009125,24298.07921131007
MED4,13,47548092,47567241,24658.814418875,24270.372423634388
TPBG,6,83131397,83132660,26654.8423245,24263.159453867054
ID3,1,23757018,23758565,24567.0080981,24227.842811127673
AURKAIP1,1,1298972,1300681,25149.06413933333,24213.320136621027
GRAP,17,18864714,18891061,25286.047982,24200.073537501532
UBE2V1,20,48173714,48203667,24130.588509772726,24196.53519449527
SLC6A16,19,54484835,54520286,26815.25050252941,24192.524813566673
LDHC,11,18390433,18429369,24511.58431386364,24108.316200469097
NUDT9,4,88562758,88598523,25821.84214535714,24107.444254794125
MPP3,17,39262608,39266064,24716.328839279995,24087.893525772975
CDK5R2,2,219532641,219535121,24633.42577222222,24061.056216156518
ASPDH,19,55706668,55709759,24537.171155714288,24044.60233020764
GRIN2A,16,10180848,10183764,24008.64023844,24034.125748276947
SCPEP1,17,52410466,52439128,24205.0449992,24011.914645115437
FOXS1,20,29895763,29897081,24201.035716000002,23989.76513879808
STOML1,15,72062612,72074002,24062.44559,23986.83585082432
HOXC5,12,52713098,52715411,23852.825614999998,23980.971345855654
FGF4,11,69296977,69299352,26190.463518142853,23977.5730860205
DEFB123,20,29492071,29501721,25715.793025000003,23947.994041610837
ZNF557,19,7020470,7038978,24117.7177995,23932.665662878666
RTN4R,22,18608937,18635816,24536.72369107143,23913.233656478937
RPL10A,6,35544553,35546536,26190.195039357142,23897.484650586
FOLH1,11,49170889,49186798,24778.623077,23894.296733573454
REEP6,19,1442164,1448924,25592.024304785715,23891.633328668224
LIPT1,2,99144852,99145974,24434.433273714287,23887.60575394833
DNAJC28,21,33782403,33783570,24075.839583574998,23870.689280216364
CHCHD4,3,14128577,14141372,23688.778192857142,23868.485717207
YY1,14,99774854,99814557,28061.66589735294,23852.41601275
SPN,16,29582550,29583753,25210.59549955556,23850.732499461297
OR1E2,17,3282913,3283885,24336.627446444443,23821.36613680966
MRPL17,11,6658191,6661208,25970.298981466665,23808.768190484276
ZNF696,8,144444933,144453495,24427.810796999995,23791.666075060064
HAP1,17,37132416,37144424,23850.939379428568,23783.89656009764
AIRE,21,44534701,44542530,23764.46932311111,23772.500051544168
MRPS14,1,173249750,173259184,24490.008382357144,23769.714534994502
WDR6,3,49019829,49028386,27447.8033674,23742.462949688077
IFNE,9,21470838,21472312,24105.345402125,23703.71822157188
AARS,16,68843797,68880913,24930.224098000002,23701.39163026677
ERF,19,47443556,47451149,24939.495565399997,23697.076211683336
TMEM175,4,934994,942443,23623.641109,23660.171867297093
TTLL4,2,219310545,219327652,23647.69567435294,23625.901724565843
DNASE2B,1,84646707,84653279,24058.283308312497,23621.050916240478
MCM2,3,128800850,128823968,23552.514883,23613.04125101309
CYGB,17,72035034,72058763,23626.998241166668,23598.763770994094
CSTF2T,10,53125251,53129361,25521.224869705882,23587.24565345072
TUBGCP2,10,134965224,134972634,28344.021351285715,23543.275381358213
ZNF264,19,62394680,62426026,25148.822351421055,23495.00783424008
ORM2,9,116131889,116135357,23455.02266342857,23457.28702905379
ARRDC2,19,17979976,17985911,24273.202813599997,23450.273417510696
FAM171B,2,187334800,187338929,24527.4164265,23445.604517470525
CNR1,6,88910294,88911712,24573.05782007143,23437.057794656346
AMBN,4,71492589,71507593,25099.90269057143,23436.369870559112
TMEM165,4,55957113,55987099,23322.844922481483,23435.95498031044
BCCIP,10,127502093,127532254,23926.724097058825,23431.4027656258
WDR35,2,19998279,20017220,24972.25323154545,23421.63750479017
KDELR1,19,53577638,53586622,23796.2234029,23417.260547512375
HOXB4,17,44007867,44010742,23828.532587437498,23318.39351714626
TRIM25,17,52320268,52346408,23577.341598199997,23305.291966381777
HM13,20,29598909,29621031,24012.752537944445,23281.517845829312
TM6SF1,15,81581667,81596680,25746.97633877778,23281.238765876893
CDH11,16,63572526,63574631,24322.645419312503,23266.3548857331
TEAD2,19,54535666,54557526,25052.82941014286,23239.25612953255
HMG20B,19,3523999,3530081,24318.25156511111,23227.497147500326
UTP23,8,117847922,117853378,25074.128727142863,23205.229915960328
PRKCZ,1,2090146,2106694,23633.29257714286,23182.2640163464
PURB,7,44882416,44891485,23472.54339011111,23182.21530451867
AP3M1,10,75550020,75580832,23695.52701252941,23177.438718792648
ACSL3,2,223515903,223517600,23350.315937000003,23168.187064924135
FOXB1,15,58084454,58085432,23725.62939211111,23153.522558702534
SNRPF,12,94776839,94784369,23167.585144999997,23141.10676673294
NIT1,1,159354565,159357481,23105.217178875,23092.82534370333
IFITM3,11,309672,310914,23127.456171625,23067.524750679182
PTGER2,14,51850862,51865072,23832.951300785713,23040.27970349389
DYNLL1,12,119418241,119420681,23399.984512357147,23035.421512567387
SULT2A1,19,53065681,53081405,22986.1132775625,23027.657932146965
TMEM221,19,17416634,17420116,23703.09706142857,22994.256948005946
C9orf47,9,90795662,90800875,23460.660717928575,22973.540887543553
BCKDHA,19,46595543,46622750,23280.675523083333,22958.92997927892
INO80B,2,74535706,74541518,23057.674060571426,22937.47889297488
AMN,14,102459011,102466932,23711.527295300002,22899.98953703467
NDUFS5,1,39264631,39272874,25286.831045125,22886.89696957593
SIAH1,16,46952991,46953840,24013.7270165,22844.89300887053
C12orf10,12,51980028,51987232,23990.391735374997,22841.802087504355
SNAPIN,1,151897823,151900930,23046.8633148,22835.7606826242
LRRN3,7,110550064,110552191,23062.649867399996,22784.829162661452
MUC7,4,71372524,71383303,24083.263022000003,22782.465094901436
CITED4,1,41099314,41100605,24150.919675999998,22739.84662986044
SVIL,10,29962608,29963888,24257.625077833334,22713.895120195615
RIMS2,8,104996898,105003412,23484.913301571425,22707.015785679796
EEF1D,8,144733040,144750726,24452.5705072381,22685.90984829045
VPS16,20,2792594,2795380,22600.73943872727,22619.57458400838
TSSK4,14,23744801,23747294,24726.45683536363,22619.06271480778
MTIF2,2,55344279,55349888,22900.21125275,22617.850086630016
UMPS,3,125931902,125946730,26605.196122375,22614.41670401875
ADM,11,10283217,10285499,24046.511259333332,22613.11394409295
CHRNA6,8,42726936,42742776,22719.1044132,22611.401202976227
GPR17,2,128120216,128126683,22545.839594909092,22606.126166510476
OVOL1,11,65317755,65321261,22810.566186199998,22593.611430233683
NAP1L5,4,89836089,89838003,23693.610811000002,22588.24758578638
EEF2,19,3927053,3936461,23333.81940716667,22573.813884745177
ENAM,4,71713324,71731400,22572.029497062504,22549.142119488028
WRAP53,17,7532519,7547544,23077.279895999996,22518.3432308315
PDE6B,4,636999,638563,22803.35504488889,22503.33627287355
GTF2F1,19,6330579,6344291,23612.506352933335,22479.907979929427
NODAL,10,71862076,71871429,22442.63092586667,22446.811329253815
PPP2CB,8,30762667,30789894,22655.813130052633,22422.932937382975
OR13D1,9,106496523,106497564,22665.883962944445,22409.028167749464
SOX2,3,182912415,182914917,22944.376013,22390.00170284852
MEGF9,9,122460101,122516433,22828.44582047059,22386.24115411836
HOXD13,2,176665777,176668912,22129.823309533334,22369.095412246163
MUC3B,7,100395448,100397831,22435.48939016667,22357.22535886293
CRABP1,15,76419720,76427627,23313.444850428576,22339.452801979936
CNP,17,37377425,37383280,24149.1656146,22327.50519969997
PIGC,1,170677491,170678385,22328.404321363636,22322.31994611987
STAT5B,17,37623251,37681950,24188.63859031579,22301.304146304807
ILF2,1,151904292,151910103,23046.8633148,22294.577771590786
FCAMR,1,205198026,205210593,23801.558123473686,22285.54618315454
PHLDA2,11,2906711,2907170,23662.288286,22265.891437706385
MYBBP1A,17,4388939,4405430,22802.213512866663,22226.850996861584
SLC25A20,3,48869359,48911406,22361.198785999997,22224.661126212974
NPHS1,19,41013794,41022160,22679.655930285713,22214.566649868506
GCAT,22,36533900,36543129,22588.552129,22213.54079551454
ROPN1,3,125180212,125193674,25230.39280073684,22181.374129551405
HBA1,16,166702,167520,22682.519704,22146.57354860503
PELI1,2,64185338,64187218,22414.1483098,22138.456552219846
WNT1,12,47658502,47662746,22310.1575268,22137.637090822707
CKAP2,13,51927495,51948764,22273.071657200002,22110.252224142074
CD1B,1,156564363,156567945,22617.682077250003,22072.08681400079
ETNK1,12,22669342,22734875,23144.303215428572,22066.066821055767
KRT17,17,37029219,37034335,24040.012879479997,22043.867735024687
SPRR2A,1,151295616,151295835,21998.972715571428,22041.988739364402
HBM,16,155972,156767,22527.99524733333,22037.434484962247
NET1,10,5478545,5490426,22865.898850363636,22035.89198838215
HMX2,10,124897627,124900178,22404.06245675,22034.060480949986
PPP1R3D,20,57945281,57948747,22204.448479571427,22015.530766636668
RPL15,3,23934334,23937336,23080.52458833333,22011.900333002413
PCSK7,11,116582606,116583990,22285.8512474,21998.390956687108
UBE2Q2,15,73939273,73980437,22772.023819187503,21965.45517339442
PSMC6,14,52257967,52264466,22809.89797233333,21958.52616029878
C5orf51,5,41940226,41957495,21949.154985333334,21952.596435268515
PDGFRA,4,54838099,54842902,23442.68891072727,21952.275205032598
PHF19,9,122671673,122679427,22402.667180636363,21945.27684592871
CLPTM1L,5,1370999,1398002,22136.5054482,21940.944806651096
FAM43B,1,20751518,20754087,21847.908652142858,21937.96765392624
SYCP2,20,57908254,57928047,22054.816303,21927.49190961333
WBP1,2,74539093,74541518,23057.674060571426,21922.528376734528
SLC2A8,9,129206140,129209986,22496.046271833333,21911.89018658544
C7orf33,7,147918589,147943885,21982.477755789474,21871.93610250925
DCTN6,8,30133354,30160602,22226.797846933336,21846.58038925312
TOB2,22,40162260,40163295,21800.656385857143,21844.6812194221
LRRC45,17,77574568,77582316,21663.4100306,21824.624362509963
HPDL,1,45565131,45566933,22496.620518125,21817.423454623757
DHRS4,14,23492804,23545459,21776.76177392857,21784.07113293245
KNDC1,10,134860551,134866587,22321.997441249998,21779.553558079253
COX7A2,6,76004222,76010245,22121.080844777774,21757.435994838062
PANX2,22,48951286,48960851,23572.41352093333,21735.192438988728
APOA4,11,116196627,116199221,25690.808705058826,21727.746231979192
MMP19,12,54515480,54523002,22878.128872625,21704.250252879847
PRDX3,10,120917204,120928335,22210.631627363637,21689.790665137654
APLNR,11,56757642,56761489,21934.730561,21656.982017031005
TAS2R60,7,142850667,142851624,21769.512846714286,21654.69348199167
BRD7,16,48910441,48960330,22014.178731434782,21652.592921851963
FEV,2,219554052,219558623,21576.208121,21605.279727698096
GRSF1,4,71900362,71924491,21951.765195750002,21561.4441723104
OR5B17,11,57882173,57883118,21976.301173666667,21512.654257506212
FBXO48,2,68543008,68547894,21477.54216725,21501.071494209813
TIMM22,17,847106,852140,21678.79860288235,21479.96222355988
ALB,4,74493918,74505834,21721.08903663636,21477.205071949447
AOC2,17,38250134,38256251,21719.217820857146,21454.154588181846
H1FOO,3,130749918,130752894,22250.738696875,21453.47026402136
TP53I3,2,24153808,24161232,22813.552266916668,21441.922572160773
CLDN16,3,191588534,191611027,25201.401990439997,21421.191691874
CTSA,20,43953606,43960865,22962.6683676,21418.301646044492
GPI,19,39576011,39583076,22382.03228083333,21412.80784365691
ACTRT2,1,2927905,2929327,22051.788458916668,21408.281062889226
C11orf52,11,111294611,111302805,21311.84601,21393.48206216739
TECPR1,7,97693839,97719404,22592.2325256875,21351.889153606386
E4F1,16,2213567,2225744,22671.34800341666,21319.916169971253
SERTAD3,19,45639236,45639827,23256.598942200002,21317.11249349793
DLAT,11,111400747,111440188,21499.279999599996,21296.74954316398
MCM7,7,99528339,99537363,21528.519576687497,21287.787441676657
CGRRF1,14,54046336,54075084,21390.22192811111,21282.821640506903
FOLR1,11,71580820,71585014,21557.27539477778,21260.75372015183
ARHGEF11,1,155184734,155192980,21177.869129733335,21250.023288683376
SFT2D3,2,128175066,128177877,22684.399055500002,21241.69382629252
WDR5B,3,123613389,123617572,21519.827576000003,21207.871649380573
MRPL11,11,65959125,65962886,22454.032324966665,21205.047311959202
UBC,12,123964079,123964618,22191.382512,21165.911970801248
MSI1,12,119263515,119291341,21419.28227075,21149.371966259823
UBXN8,8,30728454,30744062,22247.3715254375,21149.255258522648
CCL3,17,31439715,31441619,23717.729155250003,21141.80724303107
KRT10,17,36227894,36232373,21853.099241999997,21134.565191765814
