Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScore,Gene ReScorePR
DEGS1,1,222437550,222447765,3.1425307141189958,10,0.431734,0.0006770036607786019,0.0006770036607786019
MRC2,17,58112550,58124684,4.312879518672971,13,0.17413399999999998,0.0006763612917921333,0.0006763612917921333
SLC5A4,22,30944462,30981319,8.165246072717734,36,0.010237200000000002,0.000676020482397,0.000676020482397
EPHB2,1,22909917,23114410,10.870200002721209,134,0.00254822,0.0006759231735963533,0.0006759231735963533
RHOB,2,20510315,20512682,4.902834134235021,12,0.08910610000000001,0.0006753662877909438,0.0006753662877909438
ERP29,12,110935534,110945407,4.736575010194082,11,0.0964549,0.0006749638495373456,0.0006749638495373456
UPP1,7,48095375,48114855,4.41089261030855,15,0.18216500000000002,0.0006746996484692925,0.0006746996484692925
DNAJC9,10,74672587,74677031,4.858753119448243,13,0.100882,0.000674658673856222,0.000674658673856222
OXA1L,14,22306296,22310607,5.606003600116087,37,0.136002,0.0006745311677218536,0.0006745311677218536
AES,19,3003980,3013964,4.72847782922468,12,0.10607899999999999,0.0006738862852905226,0.0006738862852905226
FANCG,9,35063834,35070013,4.797892553267747,11,0.0907182,0.0006736303553518559,0.0006736303553518559
PTTG1IP,21,45093940,45118169,5.59487041605699,42,0.156109,0.0006733298625227843,0.0006733298625227843
LRP4,11,46876684,46896652,6.878861206794032,9,0.00926384,0.0006731015607842001,0.0006731015607842001
CHRNA10,11,3643392,3649190,6.001078229871573,21,0.0519977,0.000672559448828791,0.000672559448828791
NCAPH2,22,49293510,49308779,6.798591097351374,22,0.024537599999999996,0.0006724490753129783,0.0006724490753129783
PAQR7,1,26061876,26062917,4.4551900957536965,9,0.10456300000000002,0.0006720711920385889,0.0006720711920385889
DEF8,16,88557748,88561968,5.872431076639953,21,0.059136400000000006,0.0006720424369849834,0.0006720424369849834
MCCC2,5,70934088,70968294,7.689218583447794,14,0.0064083,0.0006719419595629763,0.0006719419595629763
IPCEF1,6,154517437,154719592,7.905897993169422,150,0.0552845,0.0006718122435908142,0.0006718122435908142
CRHR1,17,41266284,41268973,7.452681257145221,17,0.00985804,0.0006717501648754989,0.0006717501648754989
ETV3,1,155369599,155374801,2.578027378191263,8,0.6073890000000001,0.0006714654141589808,0.0006714654141589808
PNLIPRP1,10,118340517,118358676,10.966314065793549,29,0.000500943,0.0006714386284146945,0.0006714386284146945
ARL5A,2,152365725,152393255,6.411932948198497,23,0.0377625,0.0006711616124438732,0.0006711616124438732
ATP6V0B,1,44213229,44216553,5.001066577774252,14,0.0942307,0.0006711266992389842,0.0006711266992389842
TXNIP,1,144149867,144153949,4.320216833107568,9,0.119673,0.0006707200129212059,0.0006707200129212059
CACNA2D4,12,1788805,1898131,9.48882340415708,90,0.00681238,0.0006702825952581562,0.0006702825952581562
MAP3K5,6,137018823,137155349,8.56104929809194,60,0.0114851,0.0006702678429712052,0.0006702678429712052
RPL38,17,69711389,69717614,4.794999858272368,14,0.11579400000000001,0.0006701427375826934,0.0006701427375826934
PLN,6,118986777,118986936,3.888385827661992,8,0.163827,0.000669549775847384,0.000669549775847384
HSD3B1,1,119851463,119859204,2.417636861957415,6,0.534792,0.000669434153399321,0.000669434153399321
LCE1D,1,151036894,151037239,3.668678213464159,12,0.306122,0.0006690389734613147,0.0006690389734613147
AP4B1,1,114239204,114241287,5.096488433011736,15,0.09177289999999999,0.0006688428880572421,0.0006688428880572421
GLG1,16,73044199,73198518,13.540016921465075,83,0.000109326,0.0006688114498530272,0.0006688114498530272
MTIF3,13,26907780,26922711,9.60354593632866,20,0.00134978,0.0006687467029942066,0.0006687467029942066
LILRA1,19,59796924,59804352,3.4853532032699834,15,0.45964399999999994,0.0006686921068630188,0.0006686921068630188
TSPAN32,11,2292841,2296006,3.7932034700861634,9,0.20271,0.0006686767482046411,0.0006686767482046411
ACAT2,6,160102978,160120077,4.521666268739533,19,0.20654699999999998,0.0006684087603322589,0.0006684087603322589
CCNG1,5,162797154,162807777,2.881943376700251,9,0.504232,0.0006680260393142763,0.0006680260393142763
MGP,12,14926093,14930095,2.82478136829125,8,0.47457299999999997,0.0006678895338021032,0.0006678895338021032
RAP1A,1,111971614,112057624,7.502972889353549,47,0.0259178,0.0006676440021037103,0.0006676440021037103
LRRC17,7,102340687,102372632,5.73717163494075,19,0.06125359999999999,0.0006672694338530177,0.0006672694338530177
ZNF677,19,58437005,58449896,6.205745315256423,23,0.0464095,0.0006672544703495538,0.0006672544703495538
RIMS3,1,40858938,40903911,6.465949946433854,31,0.0482209,0.0006672080051881094,0.0006672080051881094
PRDM5,4,121977949,122063463,9.475750477207336,58,0.00444797,0.0006672074985674186,0.0006672074985674186
TPTE,21,9928613,10061300,5.955441247931326,1,0.0025916999999999997,0.000666934130899147,0.000666934130899147
NEDD1,12,95830484,95870172,4.837272223239778,23,0.182359,0.0006669074470573733,0.0006669074470573733
PON2,7,94872109,94902320,5.12778546553732,31,0.18382,0.0006668247128857222,0.0006668247128857222
ZDHHC6,10,114184044,114197296,6.660874642051422,19,0.024320500000000002,0.0006667297847694243,0.0006667297847694243
RPN1,3,129821502,129852409,4.622566787011357,26,0.25551599999999997,0.0006661805946521016,0.0006661805946521016
BRMS1,11,65862184,65864917,5.119925395472759,16,0.0956235,0.0006659752178007642,0.0006659752178007642
ARF6,14,49430204,49430732,3.180981110655373,8,0.332359,0.0006657260106420266,0.0006657260106420266
DCTN3,9,34603547,34610496,4.297180099263763,8,0.108855,0.0006649036749124625,0.0006649036749124625
RBP5,12,7167553,7172733,6.289080239441449,18,0.0334164,0.0006646919895305727,0.0006646919895305727
ELMOD1,11,106967286,107042715,10.736825613605887,52,0.00112995,0.0006646623459894788,0.0006646623459894788
CCL21,9,34699001,34700147,2.9791352143355145,9,0.457531,0.0006646218976068428,0.0006646218976068428
SYT9,11,7229756,7446846,9.937548402738459,197,0.00952015,0.0006642529089033164,0.0006642529089033164
COX8C,14,92883289,92884453,4.6094091577473915,7,0.0697039,0.0006637650837286768,0.0006637650837286768
ERN2,16,23619496,23632322,4.528836121987837,13,0.140312,0.0006637554746251163,0.0006637554746251163
TUBB2A,6,3098900,3102782,5.022543415170628,20,0.13175499999999998,0.0006637510568521381,0.0006637510568521381
CD7,17,77866700,77868769,4.859100890880767,9,0.0698171,0.0006634430421363428,0.0006634430421363428
IL1RL1,2,102320148,102327614,10.028911242250006,26,0.00114676,0.0006632155895682444,0.0006632155895682444
MFSD6,2,190981325,191075286,6.751651313255264,44,0.0514337,0.0006631781063820085,0.0006631781063820085
RSBN1,1,114105976,114156593,6.217763070115493,30,0.059811,0.0006625092968240024,0.0006625092968240024
RALGDS,9,134964859,134974074,4.461104474648669,15,0.173244,0.0006624948357140941,0.0006624948357140941
EXOC3,5,496333,520409,9.086034213775793,24,0.00271767,0.0006623459688807367,0.0006623459688807367
FAM170B,10,50009206,50012071,4.242478379724528,14,0.201207,0.0006617090821623212,0.0006617090821623212
ACSL5,10,114144665,114178128,6.851929878814132,23,0.024320500000000002,0.0006616605256291872,0.0006616605256291872
EPHA3,3,89239363,89613974,7.015115754491096,109,0.09790399999999999,0.0006615992787104818,0.0006615992787104818
VGLL4,3,11572543,11737220,8.91047413321163,115,0.0155213,0.0006608468890324968,0.0006608468890324968
JTB,1,152213368,152217075,8.019196170089119,9,0.00296176,0.000660650034432082,0.000660650034432082
ADD2,2,70755730,70848837,8.00529510923155,89,0.029698500000000003,0.0006605377286733418,0.0006605377286733418
STK17B,2,196710102,196749472,6.0865667485413075,23,0.0522836,0.0006601909702768488,0.0006601909702768488
ACSL6,5,131352998,131375769,5.651510693625642,29,0.101854,0.0006601236016150965,0.0006601236016150965
PITPNM2,12,122050805,122155999,11.328628218859924,41,0.0004929730000000001,0.0006600172589826802,0.0006600172589826802
RLF,1,40469062,40479180,4.640380870065849,10,0.09654019999999999,0.000659741501457249,0.000659741501457249
SFRP4,7,37912059,37923050,5.475928085563121,41,0.17164000000000001,0.0006592750002884988,0.0006592750002884988
ESRP1,8,95727571,95788870,5.994732101977797,45,0.112133,0.0006591217123006689,0.0006591217123006689
SLCO1B1,12,21175403,21283997,7.941918446000494,122,0.0433739,0.0006589270527511593,0.0006589270527511593
LPA,6,160872504,161007397,5.877949190913385,44,0.123223,0.0006588767685892434,0.0006588767685892434
AMTN,4,71418886,71433048,4.08003035815979,21,0.35504600000000003,0.0006586080917081689,0.0006586080917081689
GPR18,13,98705131,98706127,3.7512975582587536,8,0.187898,0.0006580758079335426,0.0006580758079335426
SOX18,20,62149522,62151423,4.253837486460035,10,0.142096,0.0006578854250928093,0.0006578854250928093
NTS,12,84792205,84800896,6.457837442120031,12,0.0188182,0.000657608675290004,0.000657608675290004
DNAJC19,3,182184197,182190224,12.583653167648993,10,3.42759e-05,0.000657593364210651,0.000657593364210651
ACTN4,19,43908195,43913010,4.156710724640415,5,0.0782949,0.0006575282714567624,0.0006575282714567624
ACTG2,2,73973600,74000288,9.088541479055525,52,0.00587354,0.000657484963390569,0.000657484963390569
LONRF2,2,100256184,100305627,5.881756353456735,42,0.117175,0.0006574117923545176,0.0006574117923545176
RPS5,19,63590467,63597983,7.197234520931588,15,0.011229799999999998,0.00065726079082945,0.00065726079082945
CIDEC,3,9883397,9896935,5.195728062151623,16,0.0886429,0.0006571432158643581,0.0006571432158643581
RRN3,16,15077797,15095659,2.9471021221859246,5,0.26245799999999997,0.0006570292205827107,0.0006570292205827107
ARHGAP15,2,143909632,144242391,10.49485935979211,141,0.00390265,0.0006566454211473632,0.0006566454211473632
PCM1,8,17874117,17931737,6.4825560177552735,42,0.06425560000000001,0.0006566196960620859,0.0006566196960620859
CBLB,3,106882526,107070577,6.988795706434787,78,0.0719282,0.0006562870905351958,0.0006562870905351958
WNT8A,5,137447672,137455098,6.967002932587913,15,0.014137100000000001,0.0006556261403155258,0.0006556261403155258
OR2T2,1,246682721,246683696,2.660004599765188,1,0.0699479,0.0006554706511325641,0.0006554706511325641
GADD45B,19,2427353,2428249,4.231161345838153,8,0.116284,0.0006553838905190834,0.0006553838905190834
CHST6,16,74070039,74071227,4.770908016082381,6,0.0508361,0.0006553715082669783,0.0006553715082669783
TBC1D19,4,26194643,26366015,6.054824030250766,20,0.04693030000000001,0.0006551210698406017,0.0006551210698406017
CLIP1,12,121401528,121445944,8.858296133222145,21,0.00298614,0.0006549957533503392,0.0006549957533503392
LRRC23,12,6885009,6893667,5.1741818102038835,15,0.0849127,0.0006544333337131555,0.0006544333337131555
HNRNPUL1,19,46500137,46505651,3.814573071077737,16,0.352754,0.0006542118831871837,0.0006542118831871837
RANBP9,6,13729708,13819775,7.909940364889598,51,0.0187209,0.0006541858134557068,0.0006541858134557068
EPHA5,4,65878873,66218104,10.097032584833526,165,0.00679827,0.0006537362850478769,0.0006537362850478769
HRASLS2,11,63076817,63087431,4.120384309063225,11,0.178621,0.0006536353113250179,0.0006536353113250179
UTF1,10,134893767,134895052,4.637224020457708,9,0.08716089999999999,0.0006532184054021523,0.0006532184054021523
CD22,19,40520497,40530104,5.470674817293129,23,0.09679299999999999,0.0006531245579019803,0.0006531245579019803
ZNF121,19,9537397,9556209,3.6104351830230725,13,0.35152100000000003,0.0006530871334549579,0.0006530871334549579
SNRPD2,19,50882557,50887282,3.8969483128208973,9,0.18273399999999998,0.0006525964877839504,0.0006525964877839504
TSPAN8,12,69805143,70121945,9.634926907631586,132,0.00863333,0.0006525061467352927,0.0006525061467352927
NCAM2,21,21292503,21833085,9.003207645934339,288,0.0354282,0.0006521614497563905,0.0006521614497563905
CXCL9,4,77141646,77147665,5.431669951630169,17,0.0743883,0.0006520494403472432,0.0006520494403472432
NEDD8,14,23765650,23771416,4.263343263700262,6,0.084451,0.000651947548040629,0.000651947548040629
TNFRSF10C,8,23016378,23030895,4.785523680687348,12,0.10019700000000001,0.0006519124785182663,0.0006519124785182663
TM7SF2,11,64635949,64640283,5.053394431524033,14,0.08942660000000001,0.0006516071170268938,0.0006516071170268938
UBA6,4,68210799,68249484,6.5686436714239935,16,0.022459200000000002,0.0006514362735007346,0.0006514362735007346
TMEM184B,22,36951376,36998962,7.753033558474788,37,0.0158892,0.0006513904763022897,0.0006513904763022897
MFAP3,5,153398751,153414786,10.14809310714967,18,0.000704712,0.0006513485887490602,0.0006513485887490602
POLR2E,19,1037577,1046391,6.284853127157297,13,0.0242363,0.0006509896041506562,0.0006509896041506562
EDF1,9,138877053,138880559,4.420065007067552,4,0.048133800000000004,0.0006509582343669217,0.0006509582343669217
SYNGAP1,6,33530855,33532277,5.025384297105095,13,0.08539780000000001,0.0006508261168171257,0.0006508261168171257
PCIF1,20,44009088,44010069,4.9090493933424435,11,0.0811745,0.0006507523867540292,0.0006507523867540292
ABTB2,11,34129110,34335378,8.696722571534732,153,0.025571299999999998,0.0006507514747571773,0.0006507514747571773
GLS2,12,55165490,55168420,3.5673042527361267,7,0.197623,0.0006505784098492625,0.0006505784098492625
INSM1,20,20296764,20299592,5.637522935320397,10,0.035616800000000004,0.0006505587817371169,0.0006505587817371169
LTBP1,2,33213180,33478079,8.781510281652782,163,0.025028,0.0006505229677671022,0.0006505229677671022
RNASEH2A,19,12778427,12785462,4.618573901487267,14,0.13813599999999998,0.0006504434999461828,0.0006504434999461828
PSMD9,12,120811028,120840154,5.24993544896521,21,0.110205,0.0006504166847811893,0.0006504166847811893
NCALD,8,103030594,103198224,9.688524740830909,114,0.00706695,0.0006503218416515252,0.0006503218416515252
ANKRD30A,10,37454790,37561501,6.355804163898561,21,0.0364694,0.0006502955493867489,0.0006502955493867489
DMPK,19,50964815,50977655,3.7120491436072633,12,0.293129,0.0006494745442522357,0.0006494745442522357
ZPBP,7,49947584,50103372,6.153676200890604,49,0.104157,0.0006493402067895674,0.0006493402067895674
NRG1,8,32705008,32741615,7.5510229418437715,36,0.0189206,0.0006486174513278918,0.0006486174513278918
TDRD3,13,59906183,60046005,6.5406551169670255,40,0.05774169999999999,0.0006483373195571049,0.0006483373195571049
GINS1,20,25336322,25377191,4.849953812542057,23,0.180061,0.0006481543420581113,0.0006481543420581113
ZBTB11,3,102872146,102878678,4.250057294752026,12,0.17116099999999998,0.0006480393375237066,0.0006480393375237066
CDH1,16,67328695,67426945,6.7573693693248265,52,0.06043869999999999,0.0006479835301523673,0.0006479835301523673
PRR7,5,176807940,176815889,6.917921061614802,14,0.0138584,0.0006478757773783593,0.0006478757773783593
PUS7,7,104884236,104949921,6.4492096710710625,39,0.0616891,0.0006477179109868968,0.0006477179109868968
GZMM,19,495026,500919,6.183545572970374,12,0.0247572,0.0006477001757515908,0.0006477001757515908
PDHA2,4,96980261,96981648,5.65061760775362,20,0.07030689999999999,0.0006476320090882166,0.0006476320090882166
ZNF92,7,64476202,64503433,5.4391776452070575,15,0.0651458,0.0006474430317322734,0.0006474430317322734
INHBC,12,56114809,56130876,6.71968744320534,13,0.0156899,0.0006469909484361564,0.0006469909484361564
TCF7L1,2,85214244,85391016,9.297470822828757,113,0.0103571,0.0006466777323715058,0.0006466777323715058
VAX1,10,118882790,118887802,2.9710006373348072,5,0.25626,0.0006461863157264135,0.0006461863157264135
WDR73,15,82987014,82998528,12.030361122246417,17,0.00010132799999999999,0.0006461086663618327,0.0006461086663618327
RNF180,5,63497426,63704452,7.178208840434425,48,0.036625599999999994,0.0006460049596390724,0.0006460049596390724
PANX2,22,48951286,48960851,3.973139831690651,15,0.28221399999999996,0.0006459182777146926,0.0006459182777146926
AMOTL1,11,94141155,94249566,6.784558640523775,44,0.04976869999999999,0.0006458814630367485,0.0006458814630367485
RXRA,9,136438248,136472252,6.586005799044292,23,0.031729400000000005,0.0006454495969403647,0.0006454495969403647
EIF5,14,102871038,102881114,5.0905555092723045,13,0.0800098,0.0006451391293436464,0.0006451391293436464
COQ3,6,99924068,99948803,5.105324877036972,19,0.115223,0.0006451378331663016,0.0006451378331663016
CCNH,5,86725837,86744592,3.76618067310399,4,0.09256110000000001,0.0006450214183281399,0.0006450214183281399
ITGAL,16,30391483,30442007,9.279269753415178,27,0.00252016,0.0006449100722796831,0.0006449100722796831
EEPD1,7,36159360,36307677,8.439004558798189,124,0.026816900000000005,0.0006439172584868677,0.0006439172584868677
KCNB1,20,47421911,47533897,8.503845173896737,88,0.0178365,0.0006434602414604584,0.0006434602414604584
ODF1,8,103633035,103642422,6.9798373326672545,33,0.030705,0.0006429380171727919,0.0006429380171727919
KCNJ13,2,233339103,233349519,9.658098869074712,10,0.000639059,0.0006428370949308548,0.0006428370949308548
PM20D1,1,204063775,204085868,6.103111447408517,20,0.044718,0.0006428302473413166,0.0006428302473413166
BPNT1,1,218297723,218329814,6.37812752825355,12,0.020379599999999998,0.0006427737300947208,0.0006427737300947208
CXCR5,11,118269310,118272181,5.6644767059486485,13,0.0450705,0.0006425791782234382,0.0006425791782234382
GPR1,2,206749148,206750216,3.8697540582489798,8,0.166908,0.0006420292784710602,0.0006420292784710602
ALDH18A1,10,97355675,97406557,7.1806910588646495,48,0.0365348,0.0006418025284364695,0.0006418025284364695
SSH1,12,107725516,107735281,5.042208523935361,12,0.0775136,0.0006411949934950068,0.0006411949934950068
PTPRN,2,219862588,219882387,6.281977288793046,20,0.037394,0.0006407084181737804,0.0006407084181737804
MELK,9,36641742,36667679,5.2814073048125625,13,0.0661085,0.0006406533260159391,0.0006406533260159391
CLDN3,7,72821262,72822536,4.311061309752832,10,0.134193,0.0006405893938439668,0.0006405893938439668
LCMT2,15,41407265,41410183,8.749675669620025,11,0.00174364,0.0006403118637748637,0.0006403118637748637
MBD5,2,148959154,148987514,10.93286741946437,19,0.000339367,0.0006400172140602557,0.0006400172140602557
LOXL1,15,72027188,72031531,6.765508503657704,18,0.0207515,0.0006399353402229704,0.0006399353402229704
MAML1,5,179153591,179156119,5.217265937036252,9,0.048799199999999994,0.0006396995955751742,0.0006396995955751742
EN2,7,154943584,154950287,4.813832559068037,13,0.10551700000000001,0.0006393466125236871,0.0006393466125236871
GPR84,12,53042711,53043902,6.99453504643169,10,0.00916879,0.0006390746289810672,0.0006390746289810672
CRISPLD2,16,83411112,83500615,8.107275049831987,90,0.0271205,0.0006389436356389873,0.0006389436356389873
TMEM117,12,42516228,43069808,8.965918669495183,179,0.0228562,0.0006387721490519295,0.0006387721490519295
PAH,12,101756233,101835511,9.007688994731804,44,0.00538844,0.0006379548857014106,0.0006379548857014106
LYPLA2,1,23990232,23994616,3.1227515825632906,6,0.26421500000000003,0.0006377679347723119,0.0006377679347723119
CDCA8,1,37930745,37947978,6.473950628582958,23,0.035491699999999994,0.0006377585221606374,0.0006377585221606374
MTCH2,11,47596186,47620673,5.758647050766411,9,0.028398400000000004,0.0006370966059241622,0.0006370966059241622
ZNF213,16,3125166,3132268,3.0158459310332257,11,0.539048,0.0006369590865274824,0.0006369590865274824
WNT10B,12,47645389,47651810,4.877815873613759,16,0.12181800000000001,0.0006367968983239477,0.0006367968983239477
OR7A5,19,14799093,14806960,4.887638098053827,24,0.18094100000000002,0.0006364750578951331,0.0006364750578951331
NR1H4,12,99421268,99481774,5.223710947211183,30,0.161619,0.0006363390489855047,0.0006363390489855047
GDF11,12,54423333,54430332,3.492942673237943,8,0.24329,0.0006361316345937885,0.0006361316345937885
SNX10,7,26370469,26380474,5.52961630503553,9,0.0357076,0.0006360554913302605,0.0006360554913302605
MAB21L2,4,151722752,151725295,4.681628803360179,8,0.0741113,0.0006358264576642614,0.0006358264576642614
TRPS1,8,116489899,116750402,8.492220389748294,94,0.0192754,0.0006355079647802033,0.0006355079647802033
NT5M,17,17147404,17191702,6.5719680059589765,29,0.040572199999999996,0.0006354295748951075,0.0006354295748951075
L3MBTL4,18,5944704,6404910,12.872438577262814,246,0.000631693,0.0006353004669843895,0.0006353004669843895
CLUL1,18,606699,640293,7.000143509618578,45,0.041028800000000004,0.000635287848018355,0.000635287848018355
LPP,3,189542137,189913323,12.728656785656009,203,0.000601881,0.0006352368752808943,0.0006352368752808943
PDIA4,7,148331086,148356715,4.690304537813381,18,0.16530999999999998,0.0006343547503118325,0.0006343547503118325
ACOX1,17,71449186,71487039,6.505599641134457,25,0.037376099999999995,0.0006342198326611259,0.0006342198326611259
L3MBTL3,6,130381426,130504278,7.530435891870279,69,0.037018800000000004,0.0006337610508380123,0.0006337610508380123
ACTG1,17,77091593,77094422,7.618166005343322,13,0.00638875,0.0006337570703550779,0.0006337570703550779
EZH1,17,38118752,38150574,5.614920311428527,14,0.0510034,0.0006332177658613622,0.0006332177658613622
LRRC26,9,139183032,139184312,4.244841923551457,8,0.114704,0.000633169938325035,0.000633169938325035
CRKL,22,19601713,19638035,4.26832713900466,26,0.364135,0.0006330027658118655,0.0006330027658118655
OAZ2,15,62766825,62782515,4.408395250974154,10,0.12174700000000001,0.0006324464377760254,0.0006324464377760254
TRPM1,15,29148887,29181216,6.834323851422581,38,0.0408954,0.0006315909503421807,0.0006315909503421807
ESRRA,11,63838286,63839318,3.8271228833473163,6,0.130633,0.0006310011944895262,0.0006310011944895262
SPINK1,5,147184338,147191453,5.033277198327095,12,0.078209,0.0006308341904690367,0.0006308341904690367
SH3GL1,19,4311366,4351471,5.083646530606332,26,0.161129,0.0006307557671339526,0.0006307557671339526
QRSL1,6,107184145,107222103,6.57406691373754,25,0.0349027,0.0006306802092285931,0.0006306802092285931
C3,19,6628845,6671662,8.459179819083404,48,0.010173399999999999,0.0006304181414296023,0.0006304181414296023
C7orf57,7,48041641,48067419,7.121119220741075,29,0.023428,0.0006301143917482841,0.0006301143917482841
TTC21A,3,39149215,39155398,6.773415122586129,22,0.0251632,0.0006300773535555652,0.0006300773535555652
KARS,16,74232962,74240042,4.152702754331773,15,0.235828,0.0006300189872363555,0.0006300189872363555
AIF1L,9,132961732,132988360,7.0805242077585895,25,0.0210333,0.0006299446039431696,0.0006299446039431696
SSSCA1,11,65094518,65095815,3.3539703432994736,6,0.20967199999999997,0.0006297770055489704,0.0006297770055489704
CHRNA7,15,30236775,30237603,2.5604805574387757,5,0.386338,0.0006297375192409274,0.0006297375192409274
ZBTB24,6,109908845,109911133,5.442705191840588,10,0.0432776,0.0006297264772084889,0.0006297264772084889
MS4A12,11,60016826,60031477,6.142584269375819,21,0.0451366,0.0006295817017856928,0.0006295817017856928
TMEM38B,9,107496645,107577265,5.604413557037088,38,0.1399,0.0006295797902918125,0.0006295797902918125
SSTR4,20,22964056,22965314,4.862295341443179,21,0.16238699999999998,0.0006294969452262493,0.0006294969452262493
GAA,17,75689949,75708274,6.087664283741012,31,0.0703919,0.0006293870780648646,0.0006293870780648646
HIST2H2AA3,1,148080408,148080942,2.1392357084195623,5,0.588724,0.000629282694047071,0.000629282694047071
RPL35A,3,199161491,199167118,3.720992685363815,13,0.314729,0.0006280239416605704,0.0006280239416605704
RPL34,4,109761197,109771088,5.4470083622270895,13,0.0560193,0.000627956936318043,0.000627956936318043
KRAS,12,25278035,25295130,6.1195725775452985,24,0.0527855,0.0006279350654960756,0.0006279350654960756
SMOC2,6,168584879,168810596,12.489129533222755,156,0.000587712,0.0006278677787581701,0.0006278677787581701
SDHC,1,159550789,159601159,8.631082567214113,30,0.00535414,0.0006276987972402078,0.0006276987972402078
HIST1H2BG,6,26324407,26324851,3.711329582951528,10,0.24445,0.0006269796296143912,0.0006269796296143912
PHKG1,7,56116168,56128183,9.3992636724047,11,0.000910635,0.0006269471591128253,0.0006269471591128253
CCDC144NL,17,20707299,20740045,2.510058317728158,4,0.325054,0.0006267719351294236,0.0006267719351294236
EPM2AIP1,3,37004232,37009799,4.677895729521355,10,0.09298560000000002,0.0006265998474226647,0.0006265998474226647
B3GNT5,3,184470280,184471417,4.611379423465835,4,0.0397524,0.00062635071855191,0.00062635071855191
FRMD8,11,64910616,64937571,5.492153807997732,19,0.0782603,0.0006257891378399077,0.0006257891378399077
MRPL39,21,25879838,25901672,5.67407805194987,18,0.061809,0.0006256685462455469,0.0006256685462455469
OR6X1,11,123129497,123130436,7.9902973874727525,12,0.0040648,0.0006256322604849566,0.0006256322604849566
LGALS4,19,43984154,43995422,5.261820774647322,13,0.0674161,0.0006255633308669816,0.0006255633308669816
PSMC2,7,102775324,102795892,2.6468596890117153,7,0.49611400000000005,0.0006253295284934854,0.0006253295284934854
GIP,17,44390916,44400954,10.049331165120032,14,0.000605005,0.000624811458111519,0.000624811458111519
FAM166A,9,139257857,139262043,5.160656179940557,15,0.086069,0.0006246705770606795,0.0006246705770606795
REEP5,5,112239979,112285930,5.587956909150611,30,0.11227999999999999,0.0006245329318908589,0.0006245329318908589
LYZ,12,68028400,68034280,3.898941443386253,20,0.405267,0.0006242802596731422,0.0006242802596731422
EIF3G,19,10089701,10091599,5.02887995104337,13,0.0850998,0.0006240599945069989,0.0006240599945069989
PPAN,19,10078094,10082975,5.408369572748274,19,0.0850998,0.0006237655539149469,0.0006237655539149469
REEP1,2,86294630,86418288,8.405337598298969,74,0.0165516,0.000623748790213189,0.000623748790213189
GRIA4,11,105309657,105358029,7.00870490202498,28,0.0253114,0.0006234142010317385,0.0006234142010317385
MATK,19,3728966,3752810,4.468785922228602,18,0.20630199999999999,0.0006232086296230436,0.0006232086296230436
MAPK10,4,87242070,87734287,9.306966140714637,163,0.0147987,0.0006231752334914731,0.0006231752334914731
HIST1H1C,6,26163946,26164678,15.619185738140292,12,1.97631e-06,0.0006225981621484864,0.0006225981621484864
RPS21,20,60395730,60396971,4.463588161836689,20,0.230419,0.0006224761006260743,0.0006224761006260743
NPM1,5,170747402,170770493,5.918864046021765,23,0.0618298,0.000622434492343908,0.000622434492343908
SLC4A9,5,139719970,139734906,7.556492243728023,9,0.00470435,0.0006224279041271876,0.0006224279041271876
C21orf2,21,44578846,44583095,3.3191106106640462,9,0.325665,0.0006223842203168713,0.0006223842203168713
PDLIM1,10,96987618,97040771,6.713277413962662,47,0.0570898,0.0006223573683210306,0.0006223573683210306
UBE2I,16,1304021,1311423,3.6164058326570414,9,0.241912,0.0006222566556548324,0.0006222566556548324
CMYA5,5,79021414,79131805,8.93166923084242,110,0.0145351,0.000621970914903689,0.000621970914903689
MYRIP,3,39826981,40179457,7.843268270883855,168,0.0659206,0.000621881829298229,0.000621881829298229
NINJ2,12,543722,643016,7.51559160168996,72,0.039206,0.0006218759256039798,0.0006218759256039798
GHRL,3,10302433,10309601,5.551064821120827,25,0.097083,0.0006218008178836389,0.0006218008178836389
SLC17A1,6,25906989,25938814,18.326725377597352,28,3.07583e-07,0.0006216275563365129,0.0006216275563365129
NEBL,10,21144488,21169784,8.404085715639194,22,0.00492691,0.000621136856855123,0.000621136856855123
NCOA5,20,44123032,44151987,7.317516558956768,23,0.015267600000000001,0.0006211250830288397,0.0006211250830288397
DMTF1,7,86630133,86663584,5.522641301741272,16,0.0639245,0.0006209135326582435,0.0006209135326582435
APBA2,15,27150152,27182254,4.607974113320825,19,0.189468,0.0006205454745631693,0.0006205454745631693
CEBPD,8,48812028,48813279,2.757077643419876,2,0.12695399999999998,0.0006205027891668358,0.0006205027891668358
SCO2,22,49308905,49309706,6.415598845095269,15,0.024537599999999996,0.0006203996328502352,0.0006203996328502352
HAX1,1,152511751,152514975,9.330754902694899,7,0.0006205869999999999,0.0006203337221960088,0.0006203337221960088
PEX11B,1,144227739,144235088,7.055820347098002,12,0.0103485,0.0006200594539939679,0.0006200594539939679
OR13C4,9,106328354,106329311,6.087363090440377,21,0.0476992,0.0006194489248070266,0.0006194489248070266
HS6ST1,2,128739523,128792641,6.998171045734718,39,0.0356285,0.0006191213609367291,0.0006191213609367291
RFC4,3,187990375,188006984,8.92095617752773,21,0.00280477,0.0006188772706060719,0.0006188772706060719
RIMS1,6,73016753,73169229,13.768246982166966,59,6.18555e-05,0.000618508103971747,0.000618508103971747
